1539615935,2,0,0
1539615940,2,0,0
1539615945,2,0,0
1539615950,2,0,0
1539615955,2,0,0
1539615960,2,0,0
1539615965,2,0,0
1539615970,2,0,0
1539615975,2,0,0
1539615980,2,0,0
1539615985,2,0,0
1539615990,2,0,0
1539615995,2,0,0
1539616000,2,0,0
1539616005,2,0,0
1539616010,2,0,0
1539616015,2,0,0
1539616020,2,0,0
1539616025,2,0,0
1539616030,2,0,0
1539616035,2,0,0
1539616040,2,0,0
1539616045,2,0,0
1539616050,2,0,0
1539616055,2,0,0
1539616060,2,0,0
1539616065,2,0,0
1539616070,2,0,0
1539616075,2,0,0
1539616080,2,0,0
1539616085,2,0,0
1539616090,2,0,0
1539616095,2,0,0
1539616100,2,0,0
1539616105,2,0,0
1539616110,2,0,0
1539616115,2,0,0
1539616120,2,0,0
1539616125,2,0,0
1539616130,2,0,0
1539616135,2,0,0
1539616140,2,0,0
1539616145,2,0,0
1539616150,2,0,0
1539616155,2,0,0
1539616160,2,0,0
1539616165,2,0,0
1539616170,2,0,0
1539616175,2,0,0
1539616180,2,0,0
1539616185,2,0,0
1539616190,2,0,0
1539616195,2,0,0
1539616200,2,0,0
1539616205,2,0,0
1539616210,2,0,0
1539616215,2,0,0
1539616220,2,0,0
1539616225,2,0,0
1539616230,2,0,0
1539616235,2,0,0
1539616240,2,0,0
1539616245,2,0,0
1539617101,2,0,0
1539617106,2,0,0
1539617111,2,0,0
1539617116,2,0,0
1539617121,2,0,0
1539617126,2,0,0
